jis_s,old_zip_code_s,zip_code_s,province_ruby_txt_ja,city_ruby_txt_ja,town_ruby_txt_ja,province_txt_ja,city_txt_ja,town_txt_ja
13103,"107  ",1076130,トウキョウト,ミナトク,アカサカアカサカパークビル(30カイ),東京都,港区,赤坂赤坂パークビル（３０階）
13103,"107  ",1076390,トウキョウト,ミナトク,アカサカアカサカビズタワー(チカイ・カイソウフメイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（地階・階層不明）
13103,"107  ",1076301,トウキョウト,ミナトク,アカサカアカサカビズタワー(1カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（１階）
13103,"107  ",1076302,トウキョウト,ミナトク,アカサカアカサカビズタワー(2カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（２階）
13103,"107  ",1076303,トウキョウト,ミナトク,アカサカアカサカビズタワー(3カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（３階）
13103,"107  ",1076304,トウキョウト,ミナトク,アカサカアカサカビズタワー(4カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（４階）
13103,"107  ",1076305,トウキョウト,ミナトク,アカサカアカサカビズタワー(5カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（５階）
13103,"107  ",1076306,トウキョウト,ミナトク,アカサカアカサカビズタワー(6カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（６階）
13103,"107  ",1076307,トウキョウト,ミナトク,アカサカアカサカビズタワー(7カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（７階）
13103,"107  ",1076308,トウキョウト,ミナトク,アカサカアカサカビズタワー(8カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（８階）
13103,"107  ",1076309,トウキョウト,ミナトク,アカサカアカサカビズタワー(9カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（９階）
13103,"107  ",1076310,トウキョウト,ミナトク,アカサカアカサカビズタワー(10カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（１０階）
13103,"107  ",1076311,トウキョウト,ミナトク,アカサカアカサカビズタワー(11カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（１１階）
13103,"107  ",1076312,トウキョウト,ミナトク,アカサカアカサカビズタワー(12カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（１２階）
13103,"107  ",1076313,トウキョウト,ミナトク,アカサカアカサカビズタワー(13カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（１３階）
13103,"107  ",1076314,トウキョウト,ミナトク,アカサカアカサカビズタワー(14カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（１４階）
13103,"107  ",1076315,トウキョウト,ミナトク,アカサカアカサカビズタワー(15カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（１５階）
13103,"107  ",1076316,トウキョウト,ミナトク,アカサカアカサカビズタワー(16カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（１６階）
13103,"107  ",1076317,トウキョウト,ミナトク,アカサカアカサカビズタワー(17カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（１７階）
13103,"107  ",1076318,トウキョウト,ミナトク,アカサカアカサカビズタワー(18カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（１８階）
13103,"107  ",1076319,トウキョウト,ミナトク,アカサカアカサカビズタワー(19カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（１９階）
13103,"107  ",1076320,トウキョウト,ミナトク,アカサカアカサカビズタワー(20カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（２０階）
13103,"107  ",1076321,トウキョウト,ミナトク,アカサカアカサカビズタワー(21カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（２１階）
13103,"107  ",1076322,トウキョウト,ミナトク,アカサカアカサカビズタワー(22カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（２２階）
13103,"107  ",1076323,トウキョウト,ミナトク,アカサカアカサカビズタワー(23カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（２３階）
13103,"107  ",1076324,トウキョウト,ミナトク,アカサカアカサカビズタワー(24カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（２４階）
13103,"107  ",1076325,トウキョウト,ミナトク,アカサカアカサカビズタワー(25カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（２５階）
13103,"107  ",1076326,トウキョウト,ミナトク,アカサカアカサカビズタワー(26カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（２６階）
13103,"107  ",1076327,トウキョウト,ミナトク,アカサカアカサカビズタワー(27カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（２７階）
13103,"107  ",1076328,トウキョウト,ミナトク,アカサカアカサカビズタワー(28カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（２８階）
13103,"107  ",1076329,トウキョウト,ミナトク,アカサカアカサカビズタワー(29カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（２９階）
13103,"107  ",1076330,トウキョウト,ミナトク,アカサカアカサカビズタワー(30カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（３０階）
13103,"107  ",1076331,トウキョウト,ミナトク,アカサカアカサカビズタワー(31カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（３１階）
13103,"107  ",1076332,トウキョウト,ミナトク,アカサカアカサカビズタワー(32カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（３２階）
13103,"107  ",1076333,トウキョウト,ミナトク,アカサカアカサカビズタワー(33カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（３３階）
13103,"107  ",1076334,トウキョウト,ミナトク,アカサカアカサカビズタワー(34カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（３４階）
13103,"107  ",1076335,トウキョウト,ミナトク,アカサカアカサカビズタワー(35カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（３５階）
13103,"107  ",1076336,トウキョウト,ミナトク,アカサカアカサカビズタワー(36カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（３６階）
13103,"107  ",1076337,トウキョウト,ミナトク,アカサカアカサカビズタワー(37カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（３７階）
13103,"107  ",1076338,トウキョウト,ミナトク,アカサカアカサカビズタワー(38カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（３８階）
13103,"107  ",1076339,トウキョウト,ミナトク,アカサカアカサカビズタワー(39カイ),東京都,港区,赤坂赤坂Ｂｉｚタワー（３９階）
13103,"107  ",1076290,トウキョウト,ミナトク,アカサカミッドタウン・タワー(チカイ・カイソウフメイ),東京都,港区,赤坂ミッドタウン・タワー（地階・階層不明）
13103,"107  ",1076201,トウキョウト,ミナトク,アカサカミッドタウン・タワー(1カイ),東京都,港区,赤坂ミッドタウン・タワー（１階）
13103,"107  ",1076202,トウキョウト,ミナトク,アカサカミッドタウン・タワー(2カイ),東京都,港区,赤坂ミッドタウン・タワー（２階）
13103,"107  ",1076203,トウキョウト,ミナトク,アカサカミッドタウン・タワー(3カイ),東京都,港区,赤坂ミッドタウン・タワー（３階）
13103,"107  ",1076204,トウキョウト,ミナトク,アカサカミッドタウン・タワー(4カイ),東京都,港区,赤坂ミッドタウン・タワー（４階）
13103,"107  ",1076205,トウキョウト,ミナトク,アカサカミッドタウン・タワー(5カイ),東京都,港区,赤坂ミッドタウン・タワー（５階）
13103,"107  ",1076206,トウキョウト,ミナトク,アカサカミッドタウン・タワー(6カイ),東京都,港区,赤坂ミッドタウン・タワー（６階）
13103,"107  ",1076207,トウキョウト,ミナトク,アカサカミッドタウン・タワー(7カイ),東京都,港区,赤坂ミッドタウン・タワー（７階）
13103,"107  ",1076208,トウキョウト,ミナトク,アカサカミッドタウン・タワー(8カイ),東京都,港区,赤坂ミッドタウン・タワー（８階）
13103,"107  ",1076209,トウキョウト,ミナトク,アカサカミッドタウン・タワー(9カイ),東京都,港区,赤坂ミッドタウン・タワー（９階）
13103,"107  ",1076210,トウキョウト,ミナトク,アカサカミッドタウン・タワー(10カイ),東京都,港区,赤坂ミッドタウン・タワー（１０階）
13103,"107  ",1076211,トウキョウト,ミナトク,アカサカミッドタウン・タワー(11カイ),東京都,港区,赤坂ミッドタウン・タワー（１１階）
13103,"107  ",1076212,トウキョウト,ミナトク,アカサカミッドタウン・タワー(12カイ),東京都,港区,赤坂ミッドタウン・タワー（１２階）
13103,"107  ",1076213,トウキョウト,ミナトク,アカサカミッドタウン・タワー(13カイ),東京都,港区,赤坂ミッドタウン・タワー（１３階）
